"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","tmeanC","tminC","tmaxC","RangeR","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"76","C1-17",2021-06-22,"C1-17_S","Air","9784512.csv",14.9216666666667,13.269,17.189,14.3255,8.59945497173696,3.92,"S","9784512","THIN",63,22,0,17.6,11.85,23.35,11.5,2.67833333333333,-1.419,6.161,7.58
"77","C1-17",2021-06-23,"C1-17_S","Air","9784512.csv",13.888,12.11,17.665,13.2685,13.260015673664,5.555,"S","9784512","THIN",63,23,0,16.55,11.15,21.95,10.8,2.662,-0.959999999999999,4.285,5.245
"78","C1-17",2021-06-24,"C1-17_N","Air","9784544.csv",15.1636666666667,12.69,19.567,14.8515,15.9148823653838,6.877,"N","9784544","THIN",63,24,1,17.7,10.85,24.55,13.7,2.53633333333333,-1.84,4.983,6.823
"79","C1-17",2021-06-25,"C1-17_N","Air","9784544.csv",19.7153333333333,12.594,27.075,21.2365,29.1833200721613,14.481,"N","9784544","THIN",63,25,1,23.15,13.65,32.65,19,3.43466666666666,1.056,5.575,4.519
"80","C1-17",2021-06-26,"C1-17_N","Air","9784544.csv",23.47375,18.331,29.352,25.319,16.9376527231155,11.021,"N","9784544","THIN",63,26,1,26.4,16.95,35.85,18.9,2.92625,-1.381,6.498,7.879
"81","C1-17",2021-06-02,"C1-17_N","Air","9784544.csv",16.669,12.787,23.1,15.9025,17.9424882061637,10.313,"N","9784544","THIN",63,2,0,17.3,11.15,23.45,12.3,0.631,-1.637,0.349999999999998,1.987
"82","C1-17",2021-06-03,"C1-17_N","Air","9784544.csv",13.46575,11.041,14.996,13.846,9.54033622219545,3.955,"N","9784544","THIN",63,3,0,12.25,5.35,19.15,13.8,-1.21575,-5.691,4.154,9.845
"83","C1-17",2021-06-29,"C1-17_N","Air","9784544.csv",17.5371666666667,15.378,20.805,16.761,11.2252142530511,5.427,"N","9784544","THIN",63,29,0,19.05,14.95,23.15,8.2,1.51283333333333,-0.428000000000001,2.345,2.773
"84","C1-17",2021-06-30,"C1-17_N","Air","9784544.csv",16.94225,15.282,19.092,16.3795,7.93379281168981,3.81,"N","9784544","THIN",63,30,0,15.9,11.55,20.25,8.7,-1.04225,-3.732,1.158,4.89
"85","C1-17",2021-06-18,"C1-17_S","Air","9784512.csv",14.1310833333333,12.401,15.951,13.846,8.72641659339055,3.55,"S","9784512","THIN",63,18,0,12.75,5.45,20.05,14.6,-1.38108333333333,-6.951,4.099,11.05
"86","C1-17",2021-06-19,"C1-17_S","Air","9784512.csv",14.01525,12.013,17.379,13.702,13.8175689828058,5.366,"S","9784512","THIN",63,19,0,14.6,8.35,20.85,12.5,0.58475,-3.663,3.471,7.134
"87","C1-17",2021-06-20,"C1-17_S","Air","9784512.csv",17.5156666666667,12.594,21.664,18.5685,19.3566118849327,9.07,"S","9784512","THIN",63,20,0,20.1,11.35,28.85,17.5,2.58433333333333,-1.244,7.186,8.43
"88","C1-17",2021-06-07,"C1-17_N","Air","9784544.csv",9.82025,7.179,12.304,10.1115,19.2756531777914,5.125,"N","9784544","THIN",63,7,0,10.45,5.65,15.25,9.6,0.62975,-1.529,2.946,4.475
"89","C1-17",2021-06-08,"C1-17_N","Air","9784544.csv",11.52525,8.581,17.57,11.137,23.3566452920464,8.989,"N","9784544","THIN",63,8,0,10.5,3.65,17.35,13.7,-1.02525,-4.931,-0.219999999999999,4.711
"90","C1-17",2021-06-09,"C1-17_N","Air","9784544.csv",11.1463333333333,8.182,14.421,11.381,20.8729520254598,6.239,"N","9784544","THIN",63,9,0,10.25,3.15,17.35,14.2,-0.896333333333333,-5.032,2.929,7.961
"91","C1-17",2021-06-24,"C1-17_S","Air","9784512.csv",15.3379166666667,12.594,19.187,14.8515,16.912918050319,6.593,"S","9784512","THIN",63,24,1,17.7,10.85,24.55,13.7,2.36208333333333,-1.744,5.363,7.107
"92","C1-17",2021-06-25,"C1-17_S","Air","9784512.csv",20.1786666666667,12.69,27.567,21.6655,28.1860543063195,14.877,"S","9784512","THIN",63,25,1,23.15,13.65,32.65,19,2.97133333333333,0.960000000000001,5.083,4.123
"93","C1-17",2021-06-26,"C1-17_S","Air","9784512.csv",23.9879166666667,18.616,28.953,25.222,16.4550976317196,10.337,"S","9784512","THIN",63,26,1,26.4,16.95,35.85,18.9,2.41208333333333,-1.666,6.897,8.563
"94","C1-17",2021-06-27,"C1-17_N","Air","9784544.csv",30.0031666666667,19.187,39.502,32.398,27.5875601250297,20.315,"N","9784544","THIN",63,27,1,31.85,20.35,43.35,23,1.84683333333333,1.163,3.848,2.685
"95","C1-17",2021-06-28,"C1-17_N","Air","9784544.csv",26.7909166666667,16.523,33.014,28.704,21.1033708340071,16.491,"N","9784544","THIN",63,28,1,25.95,16.05,35.85,19.8,-0.840916666666669,-0.472999999999999,2.836,3.309
"96","C1-17",2021-06-29,"C1-17_S","Air","9784512.csv",17.4095833333333,14.996,21.091,16.57,12.9014858641643,6.095,"S","9784512","THIN",63,29,0,19.05,14.95,23.15,8.2,1.64041666666667,-0.0460000000000012,2.059,2.105
"97","C1-17",2021-06-30,"C1-17_S","Air","9784512.csv",16.9025,15.187,19.377,16.2845,8.32596488603193,4.19,"S","9784512","THIN",63,30,0,15.9,11.55,20.25,8.7,-1.0025,-3.637,0.873000000000001,4.51
"98","C1-17",2021-06-04,"C1-17_N","Air","9784544.csv",13.1139166666667,8.879,16.523,13.749,21.6523052372546,7.644,"N","9784544","THIN",63,4,0,13.75,7.85,19.65,11.8,0.636083333333334,-1.029,3.127,4.156
"99","C1-17",2021-06-05,"C1-17_N","Air","9784544.csv",11.258,9.669,12.98,11.1875,7.92010901978796,3.311,"N","9784544","THIN",63,5,0,10.95,6.55,15.35,8.8,-0.308000000000002,-3.119,2.37,5.489
"100","C1-17",2021-06-06,"C1-17_N","Air","9784544.csv",9.37991666666667,8.382,10.553,9.324,7.44847060869905,2.171,"N","9784544","THIN",63,6,0,9.75,5.95,13.55,7.6,0.370083333333334,-2.432,2.997,5.429
